"Your VAT-ID is valid.","Die angegebene USt.-ID ist gültig."
"We have identified you as EU business, you can order VAT-exempt in our shop now.","Sie wurden als EU-Unternehmen bestätigt, ab jetzt kaufen sie steuerfrei in unserem Shop."
"We have identified you as business customer.","Sie wurden als Geschäftskunde eingestuft."
"Your VAT-ID is invalid, please check the syntax. If this error remains please contact us directly.","Die angegebene USt.-ID ist ungültig oder falsch angegeben. Falls dies trotz richtiger Eingabe weiterhin der Fall ist, nehmen Sie bitte direkt Kontakt mit uns auf."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Die angegebene USt.-ID ist ungültig oder falsch angegeben. Falls dies trotz richtiger Eingabe weiterhin der Fall ist, nehmen Sie bitte direkt Kontakt mit uns auf."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Der Dienst dieses Mitgliedsstaates ist derzeit nicht erreichbar, wir konnten ihre USt.-ID nicht überprüfen und können ihnen demnach keine USt.-befreite Bestellung ermöglichen. Sie können dennoch jetzt ein Kundenkonto erstellen und später ihre Ust.-ID ergänzen."
"Currently the European VIES service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later from your customer account management.","Derzeit kann ihre USt.-ID nicht überprüft werden, da der EU-MIAS Abfragedienst nicht erreichbar ist. Wir können ihnen demnach keine USt.-befreite Bestellung ermöglichen. Sie können dennoch jetzt ein Kundenkonto erstellen und später ihre Ust.-ID ergänzen."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Es kam zu einem Fehler bei ihrer Anfrage. Wenn dieser Fehler weiterhin auftritt, nehmen Sie bitte direkt Kontakt mit uns auf."
"VAT-ID validation results","Ergebnisse der USt.-ID Validierung"
"Please wait while we validate your VAT-ID...","Bitte warten sie einen kurzen Moment, wir validieren ihre Ust.-ID..."
"EU VAT-ID Syntax Information","Informationen zum Aufbau der USt.-ID"
"Syntax Information","Eingabehilfe"
